"","A2_Aligned.sortedByCoord.PEonly_marked","B2_Aligned.sortedByCoord.PEonly_marked","C2_Aligned.sortedByCoord.PEonly_marked","A5_Aligned.sortedByCoord.PEonly_marked","B5_Aligned.sortedByCoord.PEonly_marked","C5_Aligned.sortedByCoord.PEonly_marked"
"ST7L2697",19,23,16,9,16,16
"MOV102464",32,31,48,32,42,40
"MOV102465",80,102,111,76,91,123
"MRPL203255",246,295,336,227,276,350
"PSMB44721",69,75,105,42,45,26
"CHTOP1676",246,236,255,105,101,94
"INTS31135",33,81,84,84,98,97
"JTB3276",97,94,164,84,96,101
"KRTCAP24313",20,29,32,21,12,18
"MSTO14547",21,27,37,12,9,22
"GPATCH45184",560,465,456,436,403,390
"DEDD5447",282,232,329,242,213,249
"CDK11A3666",3,7,5,0,5,2
"GAS52549",302,294,316,193,149,202
"GAS52551",431,451,367,243,379,203
"GAS52553",714,717,723,492,579,500
"CD552046",12,39,15,24,16,19
"CD463769",15,13,11,18,28,27
"PINK12277",38,33,47,42,33,39
"SMYD23237",81,89,79,79,108,97
"CAPN23490",18,21,23,5,1,4
"C1orf35572",37,11,57,7,3,21
"GUK11629",80,45,89,70,78,63
"GALE1814",57,40,75,41,37,52
"ZNF6922245",85,105,117,39,51,52
"HMGN25710",68,64,64,39,22,25
"WDTC13219",6,4,11,2,6,3
"SYTL15",5,2,2,2,5,10
"MECR2870",6,6,6,4,14,4
"HDAC15030",13,28,13,8,6,13
"BTBD195122",8,5,6,3,4,9
"ECHDC2878",20,21,38,39,38,30
"XPNPEP11863",176,168,156,116,157,144
"ADAM83128",4,2,2,3,7,7
"MTG13650",199,214,243,199,246,270
"COMMD34913",30,27,44,34,38,34
"ZWINT368",56,73,105,47,72,63
"ZWINT370",97,61,126,45,57,78
"ZSWIM8275",3,3,8,12,7,29
"ZSWIM8277",28,33,31,21,29,45
"COMTD14660",118,103,126,117,74,112
"RNF214529",2,7,3,4,5,2
"CCDC844792",15,15,16,13,23,19
"HMBS190",56,49,30,17,37,37
"DGKZ1140",36,31,52,11,10,15
"DAK2148",83,105,122,118,114,121
"DAK2149",10,5,16,1,4,3
"FADS33673",260,198,277,243,202,238
"EML34469",49,21,57,38,38,48
"EML34470",26,19,27,14,23,38
"VPS512435",24,15,26,24,13,30
"DNHD14985",2,9,9,5,6,12
"MUS813834",24,20,33,11,30,22
"MUS813836",9,13,10,9,7,7
"MUS813837",22,10,25,4,10,6
"FIBP1282",25,28,27,13,18,27
"DNHD14990",14,5,9,5,1,7
"DNHD14993",3,8,5,4,1,8
"ILK2907",5,9,9,8,15,10
"ILK2908",17,12,16,8,7,9
"ADRBK13917",8,14,8,1,3,0
"UNC93B15036",78,48,101,41,38,80
"TCIRG12822",266,291,429,343,230,440
"EPS8L2783",133,91,154,138,74,141
"NADSYN14653",87,73,124,74,67,134
"ARAP11288",39,32,36,22,7,25
"PPME11499",10,11,17,27,14,20
"PDDC15077",222,235,292,219,173,231
"PIDD5685",32,11,68,26,11,40
"PIDD5688",70,91,116,47,67,87
"CD1511626",169,149,256,173,149,215
"CREBZF1692",489,497,533,414,457,410
"TPCN15059",15,44,38,21,25,50
"RFC50",28,30,27,29,24,26
"ARL6IP44611",70,57,144,62,45,65
"FBRSL15603",5,21,22,5,10,7
"DDX113065",41,24,42,14,20,23
"ADCY6653",12,11,18,10,10,12
"PRPF40B575",6,13,10,2,6,20
"PFDN53607",2344,1700,2223,2210,1429,2260
"PFDN53608",179,178,172,76,86,91
"DGKA2079",9,6,5,6,4,5
"DGKA2083",46,50,50,27,40,55
"MYL62263",8549,6053,9681,9072,6698,9937
"SMARCC25531",51,34,60,34,51,52
"BAZ2A3913",28,29,31,30,46,46
"OS93632",11,12,11,5,6,13
"LTBR733",8,2,7,9,0,4
"NOP23725",240,300,337,236,327,294
"LAMP11366",62,44,89,51,35,49
"MICU24125",22,25,19,20,26,18
"MOK513",35,31,38,43,26,32
"APEX14336",210,80,244,150,56,164
"METTL172295",46,64,40,12,16,22
"AP1G22729",104,106,187,65,84,127
"AP1G22730",125,126,145,69,91,100
"AP1G22731",39,38,54,47,44,42
"AP1G22738",52,88,92,71,65,98
"RABGGTA4290",35,13,21,7,18,26
"TRAPPC6B2312",16,12,13,3,12,4
"NEMF2719",198,218,139,186,235,158
"COQ61762",20,29,36,7,7,12
"RPS6KL14422",3,1,3,6,1,2
"GPATCH2L3903",159,119,134,87,112,130
"CLK33990",29,31,29,11,10,8
"COMMD43123",28,29,54,27,34,52
"COMMD43126",1117,916,1127,1058,813,1030
"MAN2C14818",9,6,10,11,3,14
"WDR733298",29,45,36,18,25,21
"WDR733301",44,23,47,24,26,29
"SYNM526",842,688,811,701,655,737
"NUBP23417",704,473,725,675,391,688
"NDUFB102597",393,381,443,393,340,444
"RPS25231",276,210,321,98,129,98
"RPS25232",394,353,467,184,217,195
"TBL33583",8,1,5,0,1,0
"ZNF5985102",370,372,420,279,307,330
"MLST85824",291,331,343,341,361,296
"TCEB24869",847,679,1047,926,647,951
"THOC62977",36,36,53,11,10,28
"C16orf935701",3,1,6,3,4,3
"STX41390",62,36,100,59,37,78
"TGFB1I11730",22,20,44,21,29,30
"TSNAXIP1347",0,0,8,3,2,0
"CENPT5782",47,59,71,18,26,38
"SLC7A61718",470,390,450,454,375,390
"RHOT24631",26,11,19,2,2,9
"CCDC783610",24,23,51,19,9,51
"CENPV5051",623,486,575,521,389,479
"C17orf76-AS11831",3210,2704,3135,2556,2209,2819
"WDR811149",19,11,37,31,14,34
"FLII254",448,335,467,319,371,439
"DPH14110",38,47,46,14,30,49
"KIAA01002345",57,38,38,28,31,47
"RAB342748",34,30,32,9,23,6
"ANKRD13B2278",31,17,33,22,9,13
"LIG34668",2,5,8,0,3,3
"STAT5B1412",0,5,3,3,8,5
"MLX2566",15,14,30,9,4,9
"FMNL1114",27,38,48,44,49,54
"ARHGAP275377",19,12,30,6,2,1
"CDK5RAP35064",101,107,114,66,78,77
"CDK5RAP35070",370,298,408,295,373,362
"PLD23109",14,21,23,16,18,13
"ITGA34297",59,69,66,66,70,98
"SPATA202861",52,16,62,39,24,52
"ABCC31079",336,360,523,434,363,580
"MBTD14734",1,5,1,10,5,8
"DCAF75536",3011,2610,2535,2296,2367,2423
"FAM57A2853",63,57,85,66,25,77
"AMZ24517",72,79,75,43,88,50
"ACADVL73",39,15,46,26,19,34
"ACADVL75",39,50,68,39,52,60
"ACADVL76",51,42,53,29,32,61
"RAB373146",0,0,2,0,0,2
"HID12531",75,45,91,64,46,63
"GGA31973",52,46,80,36,38,70
"FBF13185",7,7,10,10,5,10
"CANT1842",219,160,173,198,128,161
"CNTROB1868",41,30,47,49,32,45
"ARL165715",99,115,137,113,116,113
"SIRT72944",216,156,232,64,53,61
"DCXR4444",652,661,617,662,718,587
"DCXR4448",250,154,273,201,153,226
"DUS1L5368",185,126,222,163,120,183
"CCDC572107",22,12,29,29,17,29
"CSNK1D5566",403,319,450,179,164,200
"NARF4867",50,50,71,30,17,25
"TMEM1071562",4,6,9,0,6,7
"PFAS2874",8,3,11,3,0,3
"NDEL129",70,65,68,44,61,82
"C18orf81127",152,165,175,136,172,148
"RPL173691",1350,1195,1196,1110,1279,1088
"KRI1588",40,35,41,38,30,39
"ILF32477",12,21,10,7,8,9
"QTRT12239",76,76,123,47,71,110
"SBNO25494",306,277,353,267,241,257
"MYO9B3971",10,19,10,10,18,13
"SUGP23652",140,171,189,156,102,186
"ATP13A14322",9,7,15,1,5,3
"FXYD55643",6,3,7,3,3,8
"USF24039",17,13,18,12,5,9
"USF24041",36,61,54,30,28,35
"DMKN5000",0,0,0,0,0,0
"DMKN5001",0,2,0,0,0,1
"C19orf54907",374,351,428,291,370,354
"SIRT65445",9,14,12,3,4,9
"GLTSCR25515",253,299,326,244,234,248
"BAX4902",109,148,171,159,131,199
"PIH1D12623",114,89,145,103,71,104
"IRF34270",17,3,19,13,4,3
"PNKP435",95,42,95,53,24,100
"PNKP437",31,34,41,10,32,33
"PNKP438",62,30,79,56,35,71
"NUP623288",309,229,277,268,158,258
"CNOT33663",25,25,23,5,7,7
"STXBP24436",14,14,22,17,14,54
"PTBP11526",35,25,54,17,11,14
"HNRNPM4295",1142,1165,1189,1038,1095,1059
"ZNF2662169",8,4,1,4,0,0
"UBL5294",96,51,90,86,40,77
"NPAS22639",183,207,173,205,217,259
"ERCC34230",57,79,43,38,61,50
"CCDC74A1704",105,109,172,109,126,120
"ORC23529",42,66,29,48,52,49
"ABCB6505",105,94,163,37,32,55
"DNAJB23849",56,52,102,37,36,36
"GMPPA930",16,15,8,15,15,20
"MFF2560",124,131,98,122,187,133
"HDLBP1939",8,7,6,2,3,5
"HDLBP1940",0,0,0,0,0,0
"HDLBP1943",25,19,19,33,21,26
"EIF2B4130",10,8,11,2,2,8
"DCTN14486",68,59,57,70,49,80
"MOGS4842",227,147,313,221,109,288
"TTC311034",33,29,50,28,24,32
"HTRA2938",24,14,26,23,29,14
"USP39318",738,654,810,757,719,726
"PTCD333",28,31,30,35,36,24
"IDH3B3367",805,581,885,788,631,802
"CPNE15795",11,2,6,1,1,2
"SNHG111985",13,7,16,1,1,4
"TCEA2139",50,27,46,26,37,35
"ITSN14892",14,17,32,12,5,6
"DGCR84512",14,19,27,30,24,21
"RANBP1267",119,91,132,81,81,123
"PPIL23716",159,109,132,151,98,129
"TOP3B5513",34,27,44,18,38,34
"HPS43555",32,31,37,14,2,7
"TTC28-AS13950",6,0,1,2,1,0
"EWSR14918",38,36,53,23,26,39
"SMTN947",19,24,24,18,20,29
"IFT274644",292,378,364,316,412,341
"DDX175112",927,988,918,929,952,1027
"TUBGCP64083",39,40,60,21,36,76
"DENND6B598",6,7,17,14,7,8
"PLSCR11981",6,24,12,7,13,8
"DYNC1LI12144",462,410,391,383,453,324
"PLXNB1664",15,21,21,6,25,29
"SHISA5329",19,13,22,6,8,9
"DALRD32811",53,72,62,57,71,60
"RNF1231057",8,4,11,5,3,8
"SETD528",31,53,51,3,4,5
"EXOSC91811",251,258,199,172,167,151
"GRSF14009",58,62,69,37,40,51
"SH3TC1686",3,2,4,1,0,0
"TGFBI4080",404,371,606,449,442,605
"HARS22586",7,0,5,4,5,8
"PCDHA134654",164,155,133,143,157,179
"TCOF15769",14,13,7,6,3,9
"DDX415123",20,11,17,5,16,18
"DDX415126",16,12,13,11,15,7
"HNRNPH1498",2364,2033,2416,2024,1861,2155
"HNRNPH1499",280,273,368,320,302,337
"HNRNPH1502",341,261,391,272,158,371
"SEPP13556",0,3,0,0,0,0
"COX7C5639",24,12,12,1,8,4
"BRD93969",20,21,10,6,9,15
"AGPAT43291",13,10,16,1,6,9
"GTF2H44884",9,13,14,7,4,23
"DXO4524",30,21,44,29,17,25
"VPS522653",44,47,50,40,75,65
"WDR465664",9,8,15,9,14,45
"PRPF4B3360",3,9,10,9,14,15
"PTK72538",5,8,3,2,2,5
"ABCC105828",17,19,33,20,24,35
"RREB15224",17,12,9,9,7,3
"SNHG51317",55,46,48,12,8,11
"MAP3K72880",13,12,20,13,15,18
"LRWD13347",5,1,6,2,0,0
"NSUN5P12628",57,78,112,74,73,104
"TMEM120A159",48,61,52,50,48,45
"CYP3A54136",5,6,2,2,0,2
"ZKSCAN14011",49,36,56,49,37,30
"PILRB32",320,275,396,326,315,344
"PHF20L12749",210,235,211,211,270,184
"EEF1D3308",2830,2663,3059,3015,2987,2987
"TSTA33352",24,37,43,11,4,5
"TSTA33353",97,87,102,64,51,117
"NRBP24685",23,13,26,4,16,32
"PPP1R16A4906",26,24,37,19,37,33
"SORBS31199",120,37,109,94,44,103
"COPS55163",39,36,56,39,49,52
"CPNE35046",0,1,1,0,0,1
"SPTAN11833",31,30,43,38,22,25
"GBGT14277",0,0,3,0,0,0
"PHPT12331",0,0,0,0,0,0
"PHPT12332",0,0,2,1,1,2
"MAMDC44226",36,12,29,28,11,29
"FBXW53027",82,49,93,31,29,22
"C9orf1422341",267,180,273,224,198,292
"C9orf1422343",125,116,139,128,47,147
"CLIC3647",2,3,4,0,3,1
"ABCA22544",2,2,1,6,2,2
"NSMF3773",60,58,79,61,52,66
"PNPLA71776",1,6,6,3,4,10
"ARRDC12252",27,10,36,20,7,15
"DCTN31426",641,566,694,622,539,644
"PIGO772",855,650,871,848,750,789
"TPM2683",2948,1752,3200,2538,1576,2977
"PHF61417",55,54,40,76,49,56
"RBMX2657",5088,5094,4392,4275,5351,3933
"IDH3G2972",130,118,181,88,143,141
"HDAC6429",14,15,17,19,15,23
"WDR453940",167,194,247,153,172,181
"MAGIX265",3,0,3,3,1,0
"NONO3897",519,545,564,459,379,474
"ZNF7111334",0,5,2,0,0,0
"KDM5D1849",6,6,12,6,5,10
