"","A2_Aligned.sortedByCoord.PEonly_marked","B2_Aligned.sortedByCoord.PEonly_marked","C2_Aligned.sortedByCoord.PEonly_marked","A5_Aligned.sortedByCoord.PEonly_marked","B5_Aligned.sortedByCoord.PEonly_marked","C5_Aligned.sortedByCoord.PEonly_marked"
"FAM57A2853",224,218,284,247,195,242
"EPS8L2783",623,452,832,602,528,759
"RHOT24631",381,279,470,405,234,390
"PDDC15077",1186,899,1296,1002,845,1181
"CCDC783610",46,71,114,53,45,105
"PIDD5685",213,120,336,185,143,223
"PIDD5688",128,170,213,130,132,185
"PTBP11526",3495,2620,3159,3242,2909,3011
"CD1511626",4789,3921,4662,4883,3720,4638
"BRD93969",36,41,40,25,24,25
"SBNO25494",470,420,554,424,379,416
"MRPL203255",1392,1235,1372,1277,1430,1269
"CDK11A3666",129,142,172,110,117,149
"WDR811149",230,243,312,236,224,219
"NUBP23417",1072,805,1131,1029,701,1078
"DPH14110",388,354,363,311,358,359
"NDUFB102597",2254,1742,2124,2002,1596,2092
"RPS25231",33195,22787,33104,32542,26656,31797
"TBL33583",205,99,215,176,75,165
"ZNF5985102",680,631,712,587,547,632
"MLST85824",505,539,544,509,557,508
"IDH3B3367",1213,1019,1311,1115,1053,1245
"TCEB24869",2855,2589,3061,3084,2756,2912
"THOC62977",433,382,469,386,415,448
"PRPF4B3360",450,469,364,366,437,353
"SIRT65445",291,250,357,310,228,312
"PLD23109",111,104,132,96,105,125
"LTBR733",2018,2036,2080,2008,2245,2101
"DNHD14985",32,48,27,42,31,35
"DNHD14990",20,5,23,11,10,13
"ILK2907",841,577,726,775,665,706
"NOP23725",1399,1486,1372,1294,1540,1308
"ACADVL75",690,383,746,644,382,699
"ACADVL76",484,388,529,500,392,486
"RREB15224",87,48,63,66,34,46
"STXBP24436",217,207,243,195,223,269
"CNTROB1868",219,208,232,199,188,182
"TMEM1071562",34,31,31,32,31,35
"PFAS2874",501,348,417,400,316,402
"SH3TC1686",85,88,123,85,45,124
"NDEL129",307,186,299,218,193,264
"HNRNPM4295",2334,2308,2157,2032,1973,2086
"SETD528",333,306,305,218,254,242
"ZNF2662169",35,27,26,23,12,28
"UBL5294",2039,1153,2116,1641,1165,1700
"KRI1588",149,128,153,138,148,111
"ILF32477",2918,2482,2654,3076,2728,2695
"QTRT12239",241,192,306,201,217,272
"CENPV5051",1148,1082,1038,1032,1092,1016
"C17orf76-AS11831",7340,5684,7211,6599,5201,6826
"MYO9B3971",187,203,138,143,192,122
"FLII254",836,761,886,728,754,825
"SUGP23652",261,302,308,293,265,344
"ATP13A14322",421,442,398,434,441,372
"DGCR84512",235,181,234,242,160,173
"RANBP1267",2371,2283,1983,2194,2521,2076
"APEX14336",1895,1008,1915,1663,884,1799
"PINK12277",647,510,604,627,490,655
"C18orf81127",213,226,238,193,240,202
"METTL172295",499,563,448,479,579,471
"KDM5D1849",100,114,142,77,114,112
"PPIL23716",218,137,188,217,152,201
"MICU24125",365,347,234,368,374,286
"TOP3B5513",171,164,205,140,168,172
"SORBS31199",721,491,728,768,587,714
"COMMD34913",429,474,403,425,549,400
"AP1G22729",231,221,358,198,168,295
"AP1G22731",207,214,222,201,215,254
"AP1G22738",164,185,240,184,171,251
"GALE1814",407,332,479,363,390,401
