"","A3_Aligned.sortedByCoord.PEonly_marked","B3_Aligned.sortedByCoord.PEonly_marked","C3_Aligned.sortedByCoord.PEonly_marked","A6_Aligned.sortedByCoord.PEonly_marked","B6_Aligned.sortedByCoord.PEonly_marked","C6_Aligned.sortedByCoord.PEonly_marked"
"ST7L2697",14,11,11,10,22,15
"MOV102464",21,36,24,10,28,16
"MOV102465",25,21,47,22,38,35
"MRPL203255",49,53,71,57,58,60
"PSMB44721",35,55,37,4,16,10
"CHTOP1676",85,104,178,44,40,47
"INTS31135",9,6,22,8,11,20
"JTB3276",43,49,54,24,33,31
"KRTCAP24313",42,47,67,28,40,50
"MSTO14547",16,23,33,14,9,4
"GPATCH45184",463,444,634,443,466,399
"DEDD5447",267,265,343,216,179,272
"CDK11A3666",1,1,3,0,1,1
"GAS52549",109,121,138,38,38,38
"GAS52551",157,210,258,81,113,79
"GAS52553",855,900,860,618,655,620
"CD552046",9,22,18,14,10,33
"CD463769",14,45,49,78,62,63
"PINK12277",59,46,80,54,41,62
"SMYD23237",68,59,81,81,95,99
"CAPN23490",23,28,17,2,0,1
"C1orf35572",17,19,34,3,2,6
"GUK11629",27,26,26,20,12,21
"GALE1814",28,17,49,5,18,16
"ZNF6922245",25,46,53,19,17,12
"HMGN25710",49,42,53,25,21,33
"WDTC13219",8,6,13,2,5,8
"SYTL15",0,2,1,0,0,2
"MECR2870",2,5,13,1,1,3
"HDAC15030",10,8,6,1,3,4
"BTBD195122",1,2,1,3,0,5
"ECHDC2878",21,25,61,54,51,67
"XPNPEP11863",40,59,62,34,21,32
"ADAM83128",3,10,12,10,0,7
"MTG13650",53,72,77,53,77,60
"COMMD34913",12,9,31,9,7,16
"ZWINT368",17,22,29,13,6,18
"ZWINT370",21,31,62,6,13,14
"ZSWIM8275",11,16,23,14,15,19
"ZSWIM8277",30,29,48,22,33,37
"COMTD14660",107,71,116,73,34,78
"RNF214529",3,3,5,1,0,1
"CCDC844792",7,9,6,6,3,9
"HMBS190",19,16,17,13,5,1
"DGKZ1140",12,17,40,3,7,16
"DAK2148",34,45,57,43,38,45
"DAK2149",0,1,1,0,0,0
"FADS33673",278,222,408,263,194,331
"EML34469",32,20,44,27,36,43
"EML34470",2,8,13,3,3,6
"VPS512435",5,7,15,7,1,4
"DNHD14985",3,7,16,7,3,4
"MUS813834",29,25,27,21,28,15
"MUS813836",7,7,4,3,12,2
"MUS813837",8,3,15,3,5,3
"FIBP1282",12,14,23,9,5,10
"DNHD14990",3,0,2,1,1,3
"DNHD14993",2,3,3,3,1,6
"ILK2907",11,14,20,5,7,3
"ILK2908",7,4,12,8,1,8
"ADRBK13917",11,10,10,2,1,0
"UNC93B15036",18,21,25,12,9,19
"TCIRG12822",197,198,320,270,155,262
"EPS8L2783",66,63,95,33,33,61
"NADSYN14653",16,15,21,14,5,9
"ARAP11288",7,5,9,6,1,2
"PPME11499",8,6,10,7,13,6
"PDDC15077",397,267,524,336,224,401
"PIDD5685",4,4,10,3,11,12
"PIDD5688",53,37,74,42,46,69
"CD1511626",97,109,178,61,66,105
"CREBZF1692",229,305,305,220,308,252
"TPCN15059",16,15,49,21,17,27
"RFC50",21,31,43,26,29,36
"ARL6IP44611",45,46,64,21,11,25
"FBRSL15603",7,3,5,4,0,5
"DDX113065",42,19,59,19,20,28
"ADCY6653",6,8,12,2,1,2
"PRPF40B575",4,14,9,2,5,8
"PFDN53607",1527,1037,1945,1463,938,1563
"PFDN53608",123,171,222,66,71,85
"DGKA2079",1,4,3,0,2,3
"DGKA2083",43,34,40,36,52,31
"MYL62263",7904,5363,9955,7577,6234,9209
"SMARCC25531",9,13,21,5,9,11
"BAZ2A3913",14,43,34,41,47,44
"OS93632",17,9,25,27,10,9
"LTBR733",18,10,29,9,1,1
"NOP23725",38,55,69,11,11,20
"LAMP11366",117,56,133,92,44,92
"MICU24125",2,5,4,0,6,2
"MOK513",23,13,32,36,22,28
"APEX14336",112,49,192,79,35,109
"METTL172295",16,29,54,14,15,18
"AP1G22729",51,72,90,32,39,44
"AP1G22730",63,77,135,44,41,65
"AP1G22731",23,20,32,23,27,36
"AP1G22738",79,108,89,84,80,77
"RABGGTA4290",3,7,2,3,5,3
"TRAPPC6B2312",12,6,19,4,9,8
"NEMF2719",128,147,121,119,153,118
"COQ61762",8,13,16,11,7,6
"RPS6KL14422",1,0,2,5,0,1
"GPATCH2L3903",43,34,34,12,26,35
"CLK33990",16,12,16,8,1,3
"COMMD43123",12,14,40,2,10,13
"COMMD43126",1131,903,1404,1073,936,1163
"MAN2C14818",2,1,9,3,2,1
"WDR733298",23,37,47,20,15,15
"WDR733301",22,27,29,0,6,1
