"","A3_Aligned.sortedByCoord.PEonly_marked","B3_Aligned.sortedByCoord.PEonly_marked","C3_Aligned.sortedByCoord.PEonly_marked","A6_Aligned.sortedByCoord.PEonly_marked","B6_Aligned.sortedByCoord.PEonly_marked","C6_Aligned.sortedByCoord.PEonly_marked"
"FAM57A2853",296,185,330,238,174,244
"EPS8L2783",631,511,876,602,411,647
"RHOT24631",490,365,603,421,333,483
"PDDC15077",1813,1606,2348,1540,1237,1896
"CCDC783610",24,38,46,44,15,43
"PIDD5685",117,71,166,118,82,112
"PIDD5688",122,57,127,75,82,125
"PTBP11526",3533,3012,4684,3120,3145,3485
"CD1511626",5398,4594,6681,5225,4211,5976
"BRD93969",30,29,31,19,19,25
"SBNO25494",376,382,405,292,295,329
"MRPL203255",1431,1296,1687,1261,1573,1591
"CDK11A3666",113,102,182,118,121,121
"WDR811149",119,110,161,95,99,136
"NUBP23417",1045,659,1224,813,665,996
"DPH14110",412,453,595,390,475,389
"NDUFB102597",2289,1757,2697,1815,1621,2372
"RPS25231",38504,24981,44493,36132,31809,41688
"TBL33583",130,82,212,155,62,109
"ZNF5985102",641,564,836,572,525,612
"MLST85824",720,728,889,753,863,769
"IDH3B3367",1131,881,1343,948,1076,1086
"TCEB24869",2976,2203,3367,2769,2774,2917
"THOC62977",799,601,881,629,632,792
"PRPF4B3360",220,272,283,227,298,245
"SIRT65445",334,307,430,329,276,321
"PLD23109",205,175,266,204,156,197
"LTBR733",2401,2614,3010,2161,2647,2467
"DNHD14985",23,36,60,39,25,47
"DNHD14990",6,0,7,8,1,4
"ILK2907",614,527,723,643,496,639
"NOP23725",824,890,1121,769,929,736
"ACADVL75",1132,745,1415,1139,733,1273
"ACADVL76",765,693,1151,865,761,911
"RREB15224",49,30,80,23,12,27
"STXBP24436",261,259,341,255,262,297
"CNTROB1868",196,166,245,167,140,206
"TMEM1071562",31,37,24,30,19,25
"PFAS2874",329,364,538,415,300,347
"SH3TC1686",85,78,140,57,38,62
"NDEL129",216,161,263,149,94,176
"HNRNPM4295",1745,1769,2242,1771,1377,1769
"SETD528",272,303,395,171,178,160
"ZNF2662169",33,20,37,19,10,13
"UBL5294",1510,833,2157,1206,1041,1568
"KRI1588",108,187,204,123,121,111
"ILF32477",2677,2500,3418,2779,2848,2887
"QTRT12239",376,334,442,389,381,426
"CENPV5051",1024,1047,1157,937,1100,984
"C17orf76-AS11831",8327,6620,10464,7453,6451,8874
"MYO9B3971",136,138,173,112,160,132
"FLII254",1590,1464,2053,1600,1600,1923
"SUGP23652",287,348,459,346,336,359
"ATP13A14322",302,335,396,242,397,345
"DGCR84512",309,287,390,320,216,327
"RANBP1267",1932,2085,2327,1824,2471,2144
"APEX14336",1653,1091,2515,1475,934,1926
"PINK12277",739,692,869,678,546,830
"C18orf81127",151,197,211,153,222,166
"METTL172295",388,461,554,402,460,486
"KDM5D1849",118,96,135,98,114,144
"PPIL23716",219,219,267,223,189,273
"MICU24125",273,287,335,304,364,286
"TOP3B5513",97,80,125,60,85,76
"SORBS31199",872,615,981,885,617,812
"COMMD34913",410,410,527,419,560,454
"AP1G22729",269,285,439,278,251,353
"AP1G22731",253,289,374,289,298,385
"AP1G22738",340,321,411,317,334,360
"GALE1814",406,344,508,379,376,421
"RABGGTA4290",104,101,119,108,103,109
"HMGN25710",2740,2152,3128,2765,1888,3154
"HPS43555",88,113,123,90,121,100
"KIAA01002345",382,481,676,545,410,351
"RAB342748",2010,1634,2395,1992,1819,2108
"EIF2B4130",255,119,330,175,152,264
"WDTC13219",137,141,186,136,130,141
"SYTL15",3,4,8,7,2,3
"ANKRD13B2278",127,104,182,103,87,133
"TTC28-AS13950",29,43,46,27,23,29
"MECR2870",103,94,161,124,117,118
"EWSR14918",2124,2039,2342,2198,2282,2322
"C16orf935701",8,14,18,14,14,14
"GTF2H44884",170,128,175,145,136,177
"STX41390",503,322,667,442,319,549
"DDX113065",839,805,1189,800,790,906
"TGFB1I11730",209,280,306,285,348,299
"SMTN947",124,84,151,112,96,118
"DXO4524",155,148,252,128,237,184
"DYNC1LI12144",497,545,526,481,556,466
"HDAC15030",1015,899,1173,961,910,1016
"VPS522653",195,201,271,207,232,243
"WDR465664",531,417,625,500,424,656
"LIG34668",380,371,499,363,394,337
"CPNE15795",867,789,1173,861,889,1074
"DCTN31426",754,562,872,632,607,792
"PIGO772",398,416,581,461,516,532
"ITSN14892",87,90,119,97,68,94
"FXYD55643",937,1024,1057,928,1034,1018
"TPM2683",2403,1553,3538,2241,1647,2862
"USF24039",939,529,1138,835,434,910
"USF24041",1638,1249,2230,1574,1100,1727
"DMKN5000",64,50,93,45,80,98
"SNHG111985",136,102,159,97,84,119
"IFT274644",270,248,316,291,353,310
"DDX175112",1118,1490,1576,1207,1095,1234
"TRAPPC6B2312",81,91,148,75,81,92
"STAT5B1412",113,124,133,102,94,98
"MLX2566",362,242,409,273,250,370
"C19orf54907",288,308,395,222,263,274
"SEPP13556",8,14,12,12,24,13
"PTK72538",38,31,69,50,53,48
"FMNL1114",347,400,484,415,438,418
"ABCC105828",69,67,100,68,52,96
"ARHGAP275377",97,93,116,68,60,98
"BTBD195122",15,12,16,13,8,32
"CDK5RAP35064",419,494,680,461,557,515
"CDK5RAP35070",579,540,851,639,601,800
