"","A1_Aligned.sortedByCoord.PEonly_marked","B1_Aligned.sortedByCoord.PEonly_marked","C1_Aligned.sortedByCoord.PEonly_marked","A4_Aligned.sortedByCoord.PEonly_marked","B4_Aligned.sortedByCoord.PEonly_marked","C4_Aligned.sortedByCoord.PEonly_marked"
"ST7L2697",17,20,19,25,18,16
"MOV102464",29,23,32,20,23,19
"MOV102465",41,70,75,55,54,53
"MRPL203255",61,81,104,61,77,73
"PSMB44721",52,34,33,14,10,6
"CHTOP1676",169,216,178,78,76,70
"INTS31135",20,11,18,17,22,16
"JTB3276",57,82,60,45,36,43
"KRTCAP24313",33,40,47,24,40,43
"MSTO14547",17,23,7,7,7,5
"GPATCH45184",528,556,439,463,480,412
"DEDD5447",235,229,218,206,184,190
"CDK11A3666",1,5,1,4,2,0
"GAS52549",208,246,170,110,109,123
"GAS52551",422,399,401,192,295,196
"GAS52553",472,577,514,365,423,313
"CD552046",4,4,19,3,13,4
"CD463769",28,30,42,53,66,57
"PINK12277",24,32,25,39,50,54
"SMYD23237",63,33,59,55,76,68
"CAPN23490",24,32,12,0,1,2
"C1orf35572",21,28,11,1,0,6
"GUK11629",31,48,44,26,23,32
"GALE1814",47,31,53,18,22,22
"ZNF6922245",67,76,73,36,45,35
"HMGN25710",65,71,51,29,21,35
"WDTC13219",1,5,4,1,4,2
"SYTL15",0,0,5,2,0,5
"MECR2870",2,2,9,2,0,3
"HDAC15030",10,7,6,2,2,2
"BTBD195122",7,7,5,2,8,0
"ECHDC2878",25,46,50,31,45,51
"XPNPEP11863",71,83,64,40,40,54
"ADAM83128",5,12,9,4,3,10
"MTG13650",138,158,166,127,152,151
"COMMD34913",24,27,25,13,9,17
"ZWINT368",41,40,28,24,32,26
"ZWINT370",19,35,26,16,9,40
"ZSWIM8275",2,7,13,1,12,4
"ZSWIM8277",11,35,13,25,19,36
"COMTD14660",74,95,46,53,59,56
"RNF214529",3,1,2,4,0,1
"CCDC844792",10,21,18,11,5,9
"HMBS190",30,21,20,26,16,20
"DGKZ1140",11,23,22,7,2,4
"DAK2148",83,75,82,77,101,89
"DAK2149",3,2,6,3,2,5
"FADS33673",180,237,153,222,144,246
"EML34469",28,40,41,27,53,42
"EML34470",5,3,6,7,6,12
"VPS512435",14,15,14,19,12,18
"DNHD14985",6,6,1,4,5,1
"MUS813834",31,35,28,18,19,20
"MUS813836",5,16,13,6,8,13
"MUS813837",9,13,15,10,11,12
"FIBP1282",25,28,26,9,8,6
"DNHD14990",4,5,4,8,0,4
"DNHD14993",7,3,3,5,5,3
"ILK2907",6,14,9,6,5,3
"ILK2908",3,9,8,3,5,4
"ADRBK13917",14,9,11,1,0,3
"UNC93B15036",25,30,36,37,26,36
"TCIRG12822",190,297,202,227,203,288
"EPS8L2783",71,122,88,65,51,90
"NADSYN14653",11,20,16,12,25,17
"ARAP11288",12,12,9,6,9,6
"PPME11499",14,23,14,10,15,23
"PDDC15077",222,286,216,299,243,296
"PIDD5685",9,9,25,11,11,20
"PIDD5688",59,79,58,80,52,86
"CD1511626",126,154,127,109,116,143
"CREBZF1692",294,342,334,268,364,299
"TPCN15059",37,49,41,21,37,45
"RFC50",31,29,23,26,38,17
"ARL6IP44611",39,46,42,38,18,41
"FBRSL15603",6,5,5,3,3,7
"DDX113065",23,40,47,23,19,25
"ADCY6653",10,18,21,3,4,9
"PRPF40B575",10,9,8,0,6,6
"PFDN53607",1287,1811,1138,2000,1260,1927
"PFDN53608",151,178,161,71,82,70
"DGKA2079",0,5,7,1,1,1
"DGKA2083",36,43,33,38,66,28
"MYL62263",8514,9458,6825,9015,7431,10386
"SMARCC25531",11,16,19,7,13,14
"BAZ2A3913",11,17,32,23,46,38
"OS93632",7,15,14,6,10,17
"LTBR733",10,7,13,1,5,7
"NOP23725",55,48,75,14,20,24
"LAMP11366",28,35,34,18,30,31
"MICU24125",5,10,7,2,3,2
"MOK513",35,48,41,40,47,44
"APEX14336",47,90,59,81,33,107
"METTL172295",38,55,66,9,14,16
"AP1G22729",59,89,110,43,49,61
"AP1G22730",65,113,104,43,62,65
"AP1G22731",26,37,20,19,35,39
"AP1G22738",85,104,123,56,96,80
"RABGGTA4290",14,10,13,5,10,5
"TRAPPC6B2312",9,19,22,9,4,2
"NEMF2719",203,131,179,114,173,125
"COQ61762",16,30,21,6,6,4
"RPS6KL14422",2,6,0,5,3,8
"GPATCH2L3903",53,71,69,45,42,38
"CLK33990",14,13,15,5,2,8
"COMMD43123",26,20,23,20,29,18
"COMMD43126",854,1026,802,1126,851,1174
"MAN2C14818",1,1,3,3,8,8
"WDR733298",22,31,42,10,32,20
"WDR733301",21,38,40,6,15,17
"SYNM526",847,861,726,789,752,694
"NUBP23417",528,706,422,789,529,767
"NDUFB102597",587,570,524,585,507,550
"RPS25231",209,247,211,128,118,106
"RPS25232",173,194,177,67,73,72
"TBL33583",2,1,3,0,1,3
"ZNF5985102",302,316,288,276,277,277
"MLST85824",438,390,465,387,434,386
"TCEB24869",679,829,629,847,657,802
"THOC62977",10,5,9,0,1,1
"C16orf935701",4,1,4,1,5,4
"STX41390",14,29,20,8,1,15
"TGFB1I11730",21,30,41,21,28,27
"TSNAXIP1347",2,0,0,1,1,3
"CENPT5782",44,68,59,16,20,22
"SLC7A61718",423,459,316,423,442,412
"RHOT24631",12,25,20,3,5,6
"CCDC783610",11,20,10,16,12,16
"CENPV5051",381,497,358,430,330,479
"C17orf76-AS11831",3000,2966,2428,2748,2396,2669
"WDR811149",9,12,5,9,3,6
"FLII254",791,826,763,794,846,858
"DPH14110",13,15,14,1,1,3
"KIAA01002345",8,15,8,6,8,4
"RAB342748",17,22,26,1,6,3
"ANKRD13B2278",20,19,11,7,25,10
"LIG34668",2,2,5,0,2,0
"STAT5B1412",2,1,2,1,2,1
"MLX2566",17,23,22,8,5,5
"FMNL1114",6,13,16,17,10,22
"ARHGAP275377",2,4,2,0,0,0
"CDK5RAP35064",37,59,47,29,48,32
"CDK5RAP35070",151,246,249,212,264,267
"PLD23109",5,16,13,7,7,15
"ITGA34297",23,21,21,26,37,28
"SPATA202861",24,45,34,38,34,49
"ABCC31079",143,270,174,180,205,277
"MBTD14734",0,2,0,2,2,6
"DCAF75536",2845,3169,2526,2533,2718,2426
"FAM57A2853",42,71,28,60,23,48
"AMZ24517",24,25,32,19,38,21
"ACADVL73",34,57,41,20,21,21
"ACADVL75",34,71,46,52,60,68
"ACADVL76",21,32,34,19,7,24
"RAB373146",0,1,0,1,0,1
"HID12531",32,50,35,55,37,48
"GGA31973",39,38,35,18,27,20
"FBF13185",10,24,11,15,4,17
"CANT1842",233,226,188,195,162,186
"CNTROB1868",29,16,23,26,6,12
"ARL165715",75,94,82,108,110,85
"SIRT72944",76,93,76,13,9,12
"DCXR4444",727,587,705,798,808,740
"DCXR4448",170,223,134,229,146,221
"DUS1L5368",33,55,44,45,38,60
"CCDC572107",17,7,5,6,9,7
"CSNK1D5566",393,590,518,210,218,282
"NARF4867",40,60,58,13,19,9
"TMEM1071562",4,16,5,18,7,7
"PFAS2874",2,4,0,7,1,1
"NDEL129",6,11,15,11,13,11
"C18orf81127",148,125,128,94,152,97
"RPL173691",761,642,682,727,751,618
"KRI1588",11,24,13,7,2,10
"ILF32477",15,25,24,9,21,8
"QTRT12239",47,66,43,68,51,92
"SBNO25494",234,258,238,229,183,199
"MYO9B3971",2,8,15,4,6,6
"SUGP23652",85,104,118,87,121,106
"ATP13A14322",8,9,16,5,2,4
"FXYD55643",3,10,2,0,1,2
"USF24039",14,31,20,25,16,18
"USF24041",12,18,13,4,8,10
"DMKN5000",0,0,0,0,0,0
"DMKN5001",2,0,1,0,0,0
"C19orf54907",306,341,334,257,235,225
"SIRT65445",2,9,13,1,3,4
"GLTSCR25515",220,228,179,162,169,143
"BAX4902",77,62,54,61,64,78
"PIH1D12623",34,51,46,48,30,37
"IRF34270",1,12,9,2,2,2
"PNKP435",14,28,14,12,8,29
"PNKP437",16,17,33,9,13,32
"PNKP438",16,27,20,27,16,32
"NUP623288",415,453,310,312,250,355
"CNOT33663",0,6,2,1,0,0
"STXBP24436",11,29,7,14,20,17
"PTBP11526",19,19,19,3,12,3
"HNRNPM4295",809,875,762,923,930,853
"ZNF2662169",5,7,11,1,0,1
"UBL5294",70,98,65,86,60,95
"NPAS22639",131,171,142,134,130,138
"ERCC34230",41,46,42,25,34,26
"CCDC74A1704",136,129,153,114,111,115
"ORC23529",24,36,34,11,11,12
"ABCB6505",51,64,55,11,15,12
"DNAJB23849",26,52,36,8,9,9
"GMPPA930",10,6,12,10,9,9
"MFF2560",64,66,78,83,106,59
"HDLBP1939",5,8,0,0,1,4
"HDLBP1940",0,0,0,0,0,0
"HDLBP1943",16,23,5,15,16,18
"EIF2B4130",2,9,4,1,2,2
"DCTN14486",30,26,38,27,25,37
"MOGS4842",189,254,131,272,134,275
"TTC311034",17,11,11,10,7,11
"HTRA2938",12,11,17,11,5,13
"USP39318",479,519,411,488,506,501
"PTCD333",24,18,20,11,15,18
"IDH3B3367",609,729,481,673,535,737
"CPNE15795",7,2,2,1,3,0
"SNHG111985",13,13,8,4,7,0
"TCEA2139",11,24,26,19,11,35
"ITSN14892",3,10,12,7,4,5
"DGCR84512",10,9,11,19,19,9
"RANBP1267",38,72,64,35,28,62
"PPIL23716",123,138,115,135,111,153
"TOP3B5513",14,24,28,2,3,12
"HPS43555",30,28,16,4,1,0
"TTC28-AS13950",1,1,4,1,0,5
"EWSR14918",23,27,26,10,10,12
"SMTN947",11,10,11,6,4,7
"IFT274644",410,327,367,296,414,355
"DDX175112",886,1266,1141,906,1259,992
"TUBGCP64083",5,10,1,9,0,7
"DENND6B598",3,6,4,7,6,8
"PLSCR11981",6,6,4,5,6,11
"DYNC1LI12144",347,326,352,313,370,328
"PLXNB1664",6,5,5,4,10,0
"SHISA5329",31,27,12,17,24,24
"DALRD32811",88,103,91,63,114,88
"RNF1231057",0,5,3,0,1,0
"SETD528",40,39,43,0,3,6
"EXOSC91811",229,269,256,163,168,153
"GRSF14009",25,42,31,13,11,15
"SH3TC1686",5,5,7,1,0,0
"TGFBI4080",247,306,307,281,288,325
"HARS22586",5,6,2,0,1,2
