"","A1_Aligned.sortedByCoord.PEonly_marked","B1_Aligned.sortedByCoord.PEonly_marked","C1_Aligned.sortedByCoord.PEonly_marked","A4_Aligned.sortedByCoord.PEonly_marked","B4_Aligned.sortedByCoord.PEonly_marked","C4_Aligned.sortedByCoord.PEonly_marked"
"FAM57A2853",251,274,223,272,244,278
"EPS8L2783",425,591,418,577,466,657
"RHOT24631",343,389,321,489,343,459
"PDDC15077",1243,1474,1134,1339,1146,1470
"CCDC783610",50,53,43,34,42,57
"PIDD5685",104,133,106,137,131,167
"PIDD5688",101,148,109,135,101,133
"PTBP11526",3254,3320,2755,3240,3116,3090
"CD1511626",4520,5111,3725,5721,4861,5516
"BRD93969",26,39,24,23,17,14
"SBNO25494",372,389,365,337,289,315
"MRPL203255",1632,1204,1342,1312,1433,1250
"CDK11A3666",111,155,107,131,128,169
"WDR811149",224,236,225,224,191,226
"NUBP23417",820,1031,676,1210,850,1097
"DPH14110",433,364,378,367,454,367
"NDUFB102597",2113,2063,1672,2207,1789,2167
"RPS25231",32794,31820,25703,36928,28642,34390
"TBL33583",147,179,103,216,108,231
"ZNF5985102",531,580,497,520,490,582
"MLST85824",688,661,659,639,654,579
"IDH3B3367",1082,1109,1025,1096,1023,1191
"TCEB24869",2664,2625,2365,2884,2698,2869
"THOC62977",518,539,499,691,520,606
"PRPF4B3360",266,336,341,233,323,295
"SIRT65445",243,282,203,195,190,208
"PLD23109",154,148,122,142,134,119
"LTBR733",2231,1838,2062,1736,2015,1730
"DNHD14985",12,37,25,37,32,30
"DNHD14990",10,14,13,20,6,16
"ILK2907",707,724,622,853,732,758
"NOP23725",1114,969,1047,750,963,806
"ACADVL75",709,954,539,1001,733,1130
"ACADVL76",577,665,507,727,717,817
"RREB15224",32,70,44,25,21,41
"STXBP24436",238,208,223,229,256,279
"CNTROB1868",221,263,230,277,205,285
"TMEM1071562",70,110,56,66,67,70
"PFAS2874",396,549,293,431,354,429
"SH3TC1686",86,84,88,33,49,66
"NDEL129",189,168,136,132,112,150
"HNRNPM4295",1899,2096,1636,2105,2197,1939
"SETD528",335,355,351,204,242,185
"ZNF2662169",46,37,45,41,32,34
"UBL5294",1089,1298,970,1604,1174,1629
"KRI1588",174,166,158,146,157,118
"ILF32477",2562,2454,2144,2832,2726,2604
"QTRT12239",312,336,275,408,349,445
"CENPV5051",1233,1130,1111,1043,1194,1062
"C17orf76-AS11831",4888,5177,3910,5277,4449,5035
"MYO9B3971",169,185,200,156,198,176
"FLII254",1510,1585,1387,1576,1550,1588
"SUGP23652",279,305,343,281,343,328
"ATP13A14322",425,392,411,375,451,363
"DGCR84512",257,296,202,250,199,205
"RANBP1267",3034,2067,2396,2255,2741,2235
"APEX14336",1185,1587,872,1716,953,1667
"PINK12277",532,600,447,594,521,639
"C18orf81127",173,169,161,143,204,136
"METTL172295",439,456,492,476,525,428
"KDM5D1849",136,107,96,80,106,88
"PPIL23716",181,178,160,203,161,227
"MICU24125",328,263,246,227,334,227
"TOP3B5513",161,122,122,103,72,94
"SORBS31199",617,692,591,869,586,727
"COMMD34913",375,402,414,379,423,378
"AP1G22729",239,284,264,255,241,319
"AP1G22731",225,290,274,187,277,250
"AP1G22738",273,324,281,240,266,319
"GALE1814",459,426,408,563,466,468
"RABGGTA4290",116,121,109,93,112,91
"HMGN25710",2436,2775,1761,2731,2040,2637
"HPS43555",113,111,106,65,128,76
"KIAA01002345",411,468,397,381,388,328
"RAB342748",1809,1874,1591,2068,1817,1954
"EIF2B4130",173,221,160,235,143,283
"WDTC13219",92,117,88,98,142,97
"SYTL15",6,2,7,9,1,10
"ANKRD13B2278",100,140,118,107,106,120
"TTC28-AS13950",36,56,45,40,55,45
"MECR2870",117,90,76,104,116,92
"EWSR14918",1798,1726,1671,1733,1930,1636
"C16orf935701",20,18,14,13,12,22
"GTF2H44884",128,135,138,142,164,144
"STX41390",332,417,286,421,314,463
"DDX113065",747,812,776,665,639,675
