gene	intron	splicingRate	cleavageRate	tau	fracSplicedCT
AACS	(125550263, 125558421)	0.135045	1.473322	24.457073198065842	0.0336916544914637
AACS	(125558525, 125561036)	0.2097365	1.473322	23.446913403779124	0.0064044224977104925
AACS	(125561157, 125570875)	0.3488655	1.473322	16.1064646680069	0.0029336501773703136
AACS	(125576069, 125587224)	0.0876757	1.473322	12.45517634255987	0.3166932125414401
AACS	(125587339, 125587545)	0.09439395	1.473322	12.37178871043857	0.2923153653943159
AACS	(125587627, 125591666)	0.05078875	1.473322	11.153636331863753	0.5486082526985911
AACS	(125591814, 125599022)	0.039732	1.473322	8.967829438634253	0.6818673039747247
AADAC	(151532088, 151535153)	0.0498444	0.1292275	7.53154453026242	0.4957823285281051
AADAC	(151535376, 151538170)	0.00936313	0.1292275	5.213346279365969	0.8880179681381306
AADAC	(151538240, 151542450)	0.005218065	0.1292275	2.30213635469305	0.9497108814036839
AAGAB	(67524235, 67528316)	0.08087065	0.5106155	27.17131165265191	0.09590635407289784
AAGAB	(67528406, 67528745)	0.0787806	0.5106155	27.32378466137492	0.10065406477287195
AAGAB	(67529158, 67546896)	0.0612722	0.5106155	38.80537348374961	0.08282574070577448
AAK1	(69732805, 69734552)	0.10305249999999999	0.16054649999999998	5.5433574655954025	0.34400391736586594
AAK1	(69734710, 69736362)	0.03163075	0.16054649999999998	5.746357445620646	0.6965636539398129
AAK1	(69746372, 69747965)	0.177086	0.16054649999999998	7.047688256799043	0.13650127438200865
AAK1	(69748120, 69752164)	0.10633424999999999	0.16054649999999998	7.518625779520589	0.27043980373663923
AAK1	(69752244, 69754347)	0.01397584	0.16054649999999998	7.763459457086949	0.8253316253009627
AAK1	(69754451, 69757139)	0.053545449999999994	0.16054649999999998	8.076595337877267	0.48661262324785487
AAK1	(69757272, 69757756)	0.06833565	0.16054649999999998	8.145794778582005	0.40201261792128445
AAK1	(69757838, 69759172)	0.032891865	0.16054649999999998	8.3046058126791	0.6315808684751436
AAK1	(69759294, 69769654)	0.0871583	0.16054649999999998	9.480211221863964	0.2836729785999649
AAK1	(69769797, 69771567)	0.058028800000000005	0.16054649999999998	9.69476313445418	0.41848156996672675
AAK1	(69771676, 69783991)	0.153435	0.16054649999999998	11.088172942097067	0.0932879565888068
AAK1	(69784110, 69870009)	0.5756355	0.16054649999999998	31.22564946817424	3.4068214891120446e-09
AAMP	(219129897, 219130093)	1.7381075	0.8260035	0.808269700224765	0.07905371459208613
AAMP	(219130405, 219130553)	0.447488	0.8260035	1.1642121944324115	0.38523967899861244
AAMP	(219130870, 219131165)	0.3604355	0.8260035	1.6377704693347577	0.3858049801205148
AAMP	(219131310, 219131569)	0.6222935	0.8260035	1.9503808338127775	0.16944041175872643
AAMP	(219131709, 219132216)	0.3915245	0.8260035	2.496127605280857	0.25531072290231793
AAMP	(219132336, 219134104)	1.4681545	0.8260035	5.015321605122801	0.00022831389500646478
AARS2	(44272554, 44272790)	0.026074760000000002	0.1608055	1.139291557436327	0.835287514466697
AARS2	(44272935, 44273389)	0.047365599999999994	0.1608055	1.2471353695261431	0.7281588219011508
AARS2	(44273523, 44274016)	0.1974395	0.1608055	1.3600202947019615	0.34316521317698395
AARS2	(44274128, 44274230)	4.318438	0.1608055	1.398548801859258	8.553711520862783e-05
AARS2	(44278180, 44278730)	0.0457183	0.1608055	3.583369848754983	0.660970759009545
AARS2	(44279272, 44279808)	0.05256015	0.1608055	5.169795062499993	0.5743381156661387
AARS2	(44280000, 44280817)	0.06731675	0.1608055	6.654677289465407	0.450382815496664
AARSD1	(41113368, 41116122)	0.14460800000000001	0.21401900000000001	6.227615009115134	0.2424933464616085
AARS	(70288637, 70289630)	2.788045	0.574878	0.54016145717996	0.037915229237195806
AARS	(70289739, 70291935)	2.636348	0.574878	0.9136084154282518	0.016101546606398832
AARS	(70292120, 70292882)	1.618905	0.574878	1.0670375995762482	0.04657658226759044
AARS	(70293089, 70294946)	2.654655	0.574878	1.4014386936432657	0.004312354593589212
AARS	(70295060, 70296248)	3.26466	0.574878	2.211240365940771	0.0001096850528729014
AARS	(70296427, 70298860)	3.29978	0.574878	3.873083826339428	4.1775137253528204e-07
AARS	(70299005, 70299440)	2.12481	0.574878	4.212601015607852	2.7599568777653425e-05
AARS	(70299565, 70301561)	4.88644	0.574878	4.575200181966673	2.055886740124596e-11
AARS	(70301712, 70302173)	2.554635	0.574878	4.679825683999487	1.1803243053009279e-06
AARS	(70302282, 70303520)	1.8262450000000001	0.574878	4.91010436249328	3.053651062262606e-05
AARS	(70303666, 70304098)	1.2513565	0.574878	5.008917336635382	0.000596879744129792
AARS	(70304243, 70305683)	2.5982849999999997	0.574878	5.279883710364157	1.995963094005143e-07
AARS	(70305875, 70310388)	4.59562	0.574878	6.084234996417083	7.994811943450073e-14
AARS	(70310534, 70310868)	2.91059	0.574878	6.166294213697722	2.64722468328262e-09
AARS	(70316687, 70323323)	4.311685	0.574878	8.295559945427623	3.441882532813497e-17
AASDHPPT	(105948620, 105950193)	0.05924555	0.574878	7.434855127477051	0.5835833187556172
AATF	(35306516, 35307513)	0.07776105	0.574878	31.0852527155429	0.07854463113663497
AATF	(35307705, 35310185)	0.1253395	0.574878	28.4670434070921	0.02316116920326066
AATF	(35310596, 35311069)	0.112465	0.574878	27.60083942929625	0.03752289489130023
AATF	(35311207, 35343915)	0.062315499999999996	0.574878	17.034852357244922	0.3120939936635615
AATF	(35344030, 35345817)	0.106133	0.574878	16.752899749958594	0.1426364599903558
AATF	(35346019, 35346545)	0.175542	0.574878	16.644980981239115	0.04123909945228542
AATF	(35346710, 35348072)	0.0834089	0.574878	16.41861839904867	0.2220301911142721
AATF	(35348156, 35376303)	0.009388835	0.574878	12.19830218981841	0.8774565944395863
AATF	(35376371, 35378232)	0.0116529	0.574878	11.882139717872207	0.8533983056223947
AATF	(35378313, 35388910)	0.009957170000000001	0.574878	10.019695070148776	0.8896385613041814
AATF	(35388982, 35413900)	0.01457405	0.574878	0.24274037076065724	0.971831112219919
ABCA1	(107548671, 107549153)	0.010710500000000001	0.574878	3.243278526573988	0.9481935653008678
ABCA1	(107555187, 107555451)	2.9767571	0.574878	6.723034601593234	3.293676514582078e-10
ABCA1	(107565597, 107566906)	0.0667895	0.574878	13.052124128323236	0.3746896270731282
ABCA1	(107567001, 107568521)	0.0392203	0.574878	13.9444401113585	0.5417761917457974
ABCA1	(107568711, 107571746)	0.0524505	0.574878	15.726309489246255	0.4016535899600945
ABCA1	(107571845, 107573080)	0.042511	0.574878	16.463368016409742	0.4624505305921457
ABCA1	(107573205, 107574854)	0.060629050000000004	0.574878	17.44353430365715	0.31416082166030207
ABCA1	(107575003, 107576398)	0.0387624	0.574878	18.296621534497056	0.46094700139938566
ABCA1	(107578626, 107579612)	0.0430682	0.574878	20.07241321838271	0.39190874437603784
ABCA1	(107579685, 107580943)	0.0326192	0.574878	20.807814192636542	0.48002169677326406
ABCA1	(107581164, 107581866)	0.0868655	0.574878	21.317787971176198	0.13635404753266356
ABCA1	(107584948, 107586745)	0.07374565	0.574878	24.013521519924836	0.1508321627576017
ABCA1	(107586859, 107587963)	0.08865500000000001	0.574878	24.686488001248026	0.09710122012002875
ABCA1	(107588168, 107589228)	0.05804885	0.574878	25.38542281148927	0.20808854115145214
ABCA1	(107594108, 107594854)	0.054721450000000005	0.574878	28.493887034744002	0.19202056681991522
ABCA1	(107595052, 107599260)	0.0801433	0.574878	30.339399979893837	0.07714954913255843
ABCA1	(107602800, 107607757)	0.0351552	0.574878	32.50394218832733	0.30058096531828704
ABCA1	(107607850, 107620802)	0.0353444	0.574878	34.753248913162324	0.2758223258722615
ABCA1	(107620979, 107623959)	0.07275015	0.574878	35.297600107512956	0.06808049341694361
ABCA1	(107624081, 107645319)	0.0729904	0.574878	38.87552274349592	0.05197098482885086
ABCA1	(107646849, 107651382)	0.08613860000000001	0.574878	39.89639244164138	0.027980694224384206
ABCA1	(107651476, 107665894)	0.07067085	0.574878	42.656672455635444	0.043694792819384716
ABCA1	(107666052, 107690215)	0.0678602	0.574878	53.21239236014156	0.024171446696084613
ABCA5	(67266891, 67267302)	0.1215825	0.139483	5.06128978626961	0.2887503314998315
ABCA5	(67267430, 67270099)	0.07182764999999999	0.139483	5.86647924284472	0.43311066192148756
ABCA5	(67273983, 67280093)	0.09486875	0.139483	8.743513003664052	0.2596640468367341
ABCA5	(67282452, 67283753)	0.11123415	0.139483	12.214713325664428	0.142976365941367
ABCA5	(67283892, 67285317)	0.1723215	0.139483	13.055982007430247	0.047157601550918304
ABCA5	(67285437, 67286002)	0.10421225	0.139483	13.424440477385227	0.1412863091066
ABCA5	(67286178, 67287356)	0.175122	0.139483	14.152751088069957	0.03718561709474808
ABCA5	(67287467, 67290795)	0.214873	0.139483	17.761265447235594	0.008662293804930138
ABCA5	(67290854, 67293331)	0.1195075	0.139483	18.255329611879368	0.060779819875564786
ABCA5	(67293500, 67297279)	0.145208	0.139483	19.024479975449403	0.030931866758702166
ABCA5	(67297427, 67298858)	0.0734938	0.139483	19.332101156826578	0.15817866628533206
ABCA5	(67299047, 67300809)	0.0783664	0.139483	19.712195472765064	0.13660864271139245
ABCA5	(67300951, 67302865)	0.0649726	0.139483	20.112745915394243	0.18466987595764153
ABCA5	(67303095, 67304420)	0.07866175	0.139483	20.415691410670686	0.12833001163544838
ABCA5	(67304509, 67305402)	0.11292559999999999	0.139483	20.60700490029221	0.05392479622794099
ABCA5	(67305564, 67309232)	0.0835931	0.139483	21.353166473866988	0.1049209972485594
ABCA5	(67309437, 67310454)	0.0622972	0.139483	21.59123682449581	0.18008796467487462
ABCB6	(220074768, 220074951)	0.0328201	0.12475900000000001	0.13518056582084492	0.7882182048197711
ABCB6	(220075197, 220075432)	0.025223739999999998	0.12475900000000001	0.2955469207275474	0.825644369825918
ABCB6	(220075830, 220077108)	0.034605300000000006	0.12475900000000001	1.2174158382751619	0.7505583067443102
ABCB6	(220077787, 220077962)	0.0582436	0.12475900000000001	1.7161345501650738	0.6168864310683478
ABCB6	(220078048, 220078160)	0.11168775	0.12475900000000001	1.8317625419147257	0.4300195593190942
ABCB6	(220078388, 220078547)	0.09131595	0.12475900000000001	2.0577627076072265	0.4784765778306918
