gene	intron	splicingRate	cleavageRate	tau	fracSplicedCT
AAAS	(53701713, 53701835)	0.04712724	0.807893	0.17796855402454437	0.9369899861696119
AAAS	(53701917, 53702065)	0.246638	0.807893	0.24664769400045872	0.720900274174603
AAAS	(53702312, 53702508)	0.24157987	0.807893	0.3789296896931993	0.7024679864604877
AAAS	(53702599, 53702743)	0.2415422	0.807893	0.4491018544511993	0.6906964658915378
AAAS	(53703065, 53703384)	0.42456665	0.807893	0.6405076315145095	0.4994360473387714
AAAS	(53703505, 53708081)	1.97618	0.807893	2.0430551118052565	0.0051195677403239
AAAS	(53708225, 53708534)	0.46291550000000004	0.807893	2.1783231570621666	0.231920991203188
AAAS	(53708633, 53708877)	0.3556955	0.807893	2.280744657113205	0.3084840833565319
AAAS	(53708924, 53709118)	0.5997645	0.807893	2.3527084516097068	0.13997049362568786
AAAS	(53709210, 53709510)	0.22781300000000002	0.807893	2.5437843245314276	0.43695891117582714
AAAS	(53709566, 53714348)	1.80981	0.807893	5.274561761138735	2.2063685487423665e-05
AAAS	(53714476, 53715126)	0.14615085	0.807893	5.7136987693405725	0.36738609919715476
AACS	(125550263, 125558421)	0.11359125	0.807893	90.51590942863103	3.0028267854332655e-05
AACS	(125558525, 125561036)	0.173379	0.807893	89.65881615981321	1.4604136226290647e-07
AACS	(125561157, 125570875)	0.259836	0.807893	81.93741603747425	4.291777052122202e-10
AACS	(125570989, 125575971)	0.184866	0.807893	80.0542583522525	3.042643818856727e-07
AACS	(125576069, 125587224)	0.13148275	0.807893	72.56940926957884	6.175031806987072e-05
AACS	(125587339, 125587545)	0.20916200000000001	0.807893	72.50862264488967	2.058155657962255e-07
AACS	(125587627, 125591666)	0.10831389999999999	0.807893	71.72824357839723	0.00037260995196184245
AACS	(125591814, 125599022)	0.26404099999999997	0.807893	70.33526410421175	6.482344296198804e-09
AACS	(125599103, 125603186)	0.1054042	0.807893	69.54674228114098	0.0005796126880985771
AACS	(125603311, 125609250)	0.008628295000000001	0.807893	65.13305042762667	0.5640510359904488
AACS	(125609315, 125609447)	0.009988255	0.807893	64.7305282261143	0.5174550801636235
AACS	(125609570, 125612706)	0.0108084	0.807893	56.69414052140715	0.5346928811672443
AACS	(125612820, 125613880)	0.011235334999999999	0.807893	52.30747203316275	0.5479873281829063
AACS	(125614006, 125618548)	0.014586600000000002	0.807893	34.86542049728136	0.5906911432006398
AACS	(125618618, 125619339)	0.0493576	0.807893	31.909837214316013	0.19509012483770277
AACS	(125619398, 125621207)	0.040982500000000005	0.807893	24.93002738804644	0.3426047749256372
AACS	(125621410, 125626637)	0.009858084999999999	0.807893	4.640751501192113	0.943765747956067
AADAC	(151532088, 151535153)	0.124675	0.106054	2.516982706379803	0.33584676411786984
AADAC	(151535376, 151538170)	0.0109769	0.106054	1.7520887096154607	0.8889430496177779
AADAC	(151538240, 151542450)	0.00641467	0.106054	0.8269789542300456	0.9379758348744157
AADAC	(151542622, 151545363)	0.003197965	0.106054	0.19734233800628154	0.9701161080601046
AAGAB	(67501882, 67524151)	0.021035775	0.106054	25.635315400763616	0.4866529418804376
AAGAB	(67524235, 67528316)	0.09356365	0.106054	27.068149044117373	0.04221202222027252
AAGAB	(67529158, 67546896)	0.07240830000000001	0.106054	39.3435215659428	0.03441624840798942
AAK1	(69693683, 69732700)	0.00892272	0.1097147	8.180280257582107	0.8596938501884467
AAK1	(69732805, 69734552)	0.07928265000000001	0.1097147	8.498728969841789	0.2959243629069863
AAK1	(69734710, 69736362)	0.0501385	0.1097147	8.80995584305454	0.4412734600114628
AAK1	(69746372, 69747965)	0.17357699999999998	0.1097147	10.805074854042168	0.059361689021828
AAK1	(69748120, 69752164)	0.08363145	0.1097147	11.52708681018601	0.21640021686460328
AAK1	(69752244, 69754347)	0.0190527	0.1097147	11.902450492077419	0.6791602744671209
AAK1	(69754451, 69757139)	0.0399284	0.1097147	12.382530840149247	0.4471843246710577
AAK1	(69757838, 69759172)	0.035489599999999996	0.1097147	12.732102239730203	0.4808905546882582
AAK1	(69759294, 69769654)	0.07301105	0.1097147	14.534466927584404	0.20777911174379937
AAK1	(69769797, 69771567)	0.0927828	0.1097147	14.863404501317	0.13643424966669304
AAK1	(69771676, 69783991)	0.155692	0.1097147	16.99969327081715	0.02930209537280442
AAMP	(219132336, 219134104)	1.41242	1.0233735	3.720632570511264	0.002193484489711053
AARS2	(44268448, 44268892)	0.06832585	0.23444	0.559528228182621	0.745283732084718
AARS2	(44269201, 44269796)	0.1643885	0.23444	0.767681939407761	0.5181295917876529
AARS2	(44270647, 44270802)	0.12852449999999999	0.23444	0.9993220207047631	0.5680517786725019
AARS2	(44272554, 44272790)	0.03309226	0.23444	1.4570759785759764	0.835054403208895
AARS2	(44272935, 44273389)	0.1804033	0.23444	1.5950008381156433	0.42382078853270094
AARS2	(44274128, 44274230)	0.180432	0.23444	1.7886482619434556	0.4092210802328329
AARS2	(44274269, 44274659)	0.11219965	0.23444	1.8874291713633502	0.5472470306418933
AARS2	(44274768, 44274985)	0.08583415	0.23444	1.9624934521812656	0.6185194667524035
AARS2	(44278180, 44278730)	0.0479072	0.23444	4.514276111398697	0.6688441830536082
AARS2	(44279272, 44279808)	0.059821650000000004	0.23444	5.877754575324742	0.5605220917284595
AARS2	(44280000, 44280817)	0.0638049	0.23444	7.153960298980939	0.49799114115777815
AARSD1	(41109212, 41113208)	0.11145	0.3099985	3.215556914851842	0.5140144265522737
AARSD1	(41113368, 41116122)	0.1262895	0.3099985	5.30100742655298	0.363783381457137
AASDHPPT	(105948620, 105950193)	0.060461600000000004	0.7191875000000001	7.458228871440815	0.5876296979760125
AATF	(35306516, 35307513)	0.08412064999999999	0.7191875000000001	27.237759686110095	0.09054807665869913
AATF	(35307705, 35310185)	0.13480514999999998	0.7191875000000001	25.29707038780966	0.027820674356268792
AATF	(35346710, 35348072)	0.10931225	0.7191875000000001	11.195560676398088	0.25530244952675357
AATF	(35348156, 35376303)	0.012415849999999999	0.7191875000000001	6.753689199520975	0.9039608880337372
AATF	(35376371, 35378232)	0.0136273	0.7191875000000001	6.452934664863035	0.8987889942916075
AATF	(35378313, 35388910)	0.0128682	0.7191875000000001	4.633150470189339	0.9255613985118937
